source	target
Africa_Day	African Court of Justice
Africa_Day	African Court of Justice and Human Rights
Africa_Day	African Court on Human and Peoples' Rights
Africa_Day	African Development Bank
Africa_Day	African Economic Community
Africa_Day	African Free Trade Zone
Africa_Day	African Investment Bank
Africa_Day	African Liberation Day
Africa_Day	African Monetary Fund
Africa_Day	African Monetary Union
Africa_Day	African Peer Review Mechanism
Africa_Day	African Standby Force
Africa_Day	African Union
Africa_Day	African Union Commission
Africa_Day	African Union Mission in Burundi
Africa_Day	African Union Mission in Sudan
Africa_Day	African Union Mission to Somalia
Africa_Day	Algeria
Africa_Day	Angola
Africa_Day	Assembly of the African Union
Africa_Day	AU Conference Center and Office Complex
Africa_Day	Benin
Africa_Day	Botswana
Africa_Day	Bureau of the Pan-African Parliament
Africa_Day	Burkina Faso
Africa_Day	Burundi
Africa_Day	Cameroon
Africa_Day	Cape Verde
Africa_Day	Casablanca Group
Africa_Day	Cassinga Day
Africa_Day	Cathy Davey
Africa_Day	Central African Republic
Africa_Day	Chad
Africa_Day	Chairperson of the African Union
Africa_Day	Chairperson of the African Union Commission
Africa_Day	Chairperson of the Organisation of African Unity
Africa_Day	Comoros
Africa_Day	Constitutive Act of the African Union
Africa_Day	Cross-Cutting Programs Committee
Africa_Day	Democratic Republic of the Congo
Africa_Day	Djibouti
Africa_Day	Economic Affairs Committee (African Union)
Africa_Day	Economic; Social and Cultural Council
Africa_Day	Economy of the African Union
Africa_Day	Egypt
Africa_Day	Emblem of the African Union
Africa_Day	Enlargement of the African Union
Africa_Day	Equatorial Guinea
Africa_Day	Eritrea
Africa_Day	Ethiopia
Africa_Day	Executive Council of the African Union
Africa_Day	Flag of the African Union
Africa_Day	Foreign relations of Cameroon
Africa_Day	Foreign relations of Chad
Africa_Day	Foreign relations of the African Union
Africa_Day	Foreign relations of the Central African Republic
Africa_Day	Gabon
Africa_Day	Gallagher Convention Centre
Africa_Day	Ghana
Africa_Day	Guinea
Africa_Day	Guinea-Bissau
Africa_Day	Heroes' Day (Namibia)
Africa_Day	History of the African Union
Africa_Day	Human Resources; Science; and Technology Committee
Africa_Day	Infrastructure and Energy Committee
Africa_Day	Ivory Coast
Africa_Day	Kenya
Africa_Day	Languages of the African Union
Africa_Day	Lesotho
Africa_Day	Let Us All Unite and Celebrate Together
Africa_Day	Liberia
Africa_Day	Libya
Africa_Day	Life in the African Union
Africa_Day	List of central banks and currencies of Africa
Africa_Day	Madagascar
Africa_Day	Malawi
Africa_Day	Mali
Africa_Day	Mauritania
Africa_Day	Mauritius
Africa_Day	May
Africa_Day	May 25
Africa_Day	Member states of the African Union
Africa_Day	MISCA
Africa_Day	Monrovia Group
Africa_Day	Mozambique
Africa_Day	Namibia
Africa_Day	New Partnership for Africa's Development
Africa_Day	Niger
Africa_Day	Organisation of African Unity
Africa_Day	Organs of the African Union
Africa_Day	Pan-African Parliament
Africa_Day	Pan-Africanism
Africa_Day	Panel of the Wise
Africa_Day	Peace and Security Committee
Africa_Day	Peace and Security Council
Africa_Day	Permanent Representatives' Committee of the African Union
Africa_Day	Political Affairs Committee (African Union)
Africa_Day	Public holidays in Ghana
Africa_Day	Public holidays in Mali
Africa_Day	Public holidays in Namibia
Africa_Day	Public holidays in the Gambia
Africa_Day	Public holidays in Zimbabwe
Africa_Day	Regions of the African Union
Africa_Day	Republic of the Congo
Africa_Day	Rural Economy and Agriculture Committee
Africa_Day	Rwanda
Africa_Day	Sahrawi Arab Democratic Republic
Africa_Day	Secretariat of the Pan-African Parliament
Africa_Day	Secretary General of the Organisation of African Unity
Africa_Day	Senegal
Africa_Day	Seychelles
Africa_Day	Sierra Leone
Africa_Day	Sirte Declaration
Africa_Day	Social Affairs and Health Committee
Africa_Day	Somalia
Africa_Day	South Africa
Africa_Day	Specialised Technical Committees of the African Union
Africa_Day	Sudan
Africa_Day	Swaziland
Africa_Day	São Tomé and Príncipe
Africa_Day	Talk:Africa Day
Africa_Day	Talk:Association for Consciousness Exploration
Africa_Day	Talk:Starwood Festival/Archive 1
Africa_Day	Tanzania
Africa_Day	Template:African Union
Africa_Day	Template:Public holidays in Namibia
Africa_Day	The Gambia
Africa_Day	Timothy Moloi
Africa_Day	Togo
Africa_Day	Trade and Industry Committee (African Union)
Africa_Day	Tripartite Free Trade Area
Africa_Day	Tunisia
Africa_Day	Uganda
Africa_Day	UNESCO
Africa_Day	United Nations–African Union Mission in Darfur
Africa_Day	United States of Africa
Africa_Day	User talk:105.237.238.80
Africa_Day	User talk:112.207.82.129
Africa_Day	User talk:24.204.204.218
Africa_Day	User talk:72.102.2.47
Africa_Day	User talk:91.190.51.8
Africa_Day	User talk:98.220.219.220
Africa_Day	User talk:Islahaddow/Archive 1
Africa_Day	User talk:Islahaddow/Archives/2014/August
Africa_Day	User talk:Islahaddow/Archives/2014/July
Africa_Day	User talk:Islahaddow/Archives/2014/October
Africa_Day	User talk:Islahaddow/Archives/2014/September
Africa_Day	User talk:Summermkhululi
Africa_Day	User talk:Usernamehahaha
Africa_Day	User:Natalie.trebes/Burundi
Africa_Day	User:Natalie.trebes/Burundi (Archive Copy - 11 Nov 08)
Africa_Day	User:Pepo13/sandbox
Africa_Day	User:Xasman/sandbox/Rep-of-Namibia
Africa_Day	Zambia
Africa_Day	Zimbabwe
African_music	1 Giant Leap
African_music	Aalener Jazzfest
African_music	Adam Rudolph
African_music	Adiemus
African_music	Adiemus (song)
African_music	Africa (Miriam Makeba album)
African_music	Africa in Motion
African_music	Africa Oyé
African_music	African
African_music	African blues
African_music	African harp
African_music	African Sanctus
African_music	Afro/Cosmic music
African_music	Ahleuchatistas
African_music	Ali Farka Touré
African_music	Amambanda
African_music	Amarok (Mike Oldfield album)
African_music	Anuradha Pal
African_music	Argentine rock
African_music	Arrogance Ignorance and Greed
African_music	Arthur Mafokate
African_music	Avi Bortnick
African_music	Baganda music
African_music	Barbara Kanam
African_music	Berber music
African_music	Bicho (album)
African_music	Blackhouse (album)
African_music	Blue note
African_music	Blur (band)
African_music	Bonga Wanga
African_music	Born Under Punches (The Heat Goes On)
African_music	Brønnøysund Musikkorps
African_music	Candomblé
African_music	Cantes de ida y vuelta
African_music	Carl Meinhof
African_music	Catch My Shoe
African_music	Category:African music
African_music	Cheick Tidiane Seck
African_music	Christine Southworth
African_music	Clave (rhythm)
African_music	Claves
African_music	Club Classics Vol. One
African_music	Comme une symphonie d'amour
African_music	Coro-pregón
African_music	Croftwork
African_music	Cruel River
African_music	Cuban folk music
African_music	Cuban literature
African_music	Culture of the Netherlands
African_music	Cymande
African_music	Dada
African_music	Damon Albarn
African_music	Dan Gorlin
African_music	Dangriga
African_music	Danzón
African_music	Dapo Torimiro
African_music	Darko Rundek
African_music	David Fiuczynski
African_music	David Myles (musician)
African_music	Demon Fuzz
African_music	Denis Preston
African_music	Dhaka World Music Festival
African_music	Diversité
African_music	Done by the Forces of Nature
African_music	Double tonic
African_music	DRC Music
African_music	Druga godba
African_music	Drumstruck
African_music	Dust (Peatbog Faeries album)
African_music	Earth; Wind & Fire discography
African_music	East African urban music
African_music	Eastlawn Records
African_music	Escanaba Firing Line
African_music	Exuma (musician)
African_music	Eyes on Tomorrow
African_music	Faerie Stories
African_music	Fear of Music
African_music	Festál at Seattle Center
African_music	Fodder on My Wings
African_music	Fool's Gold (band)
African_music	Franco Luambo Makiadi
African_music	Fred Onovwerosuoke
African_music	French hip hop
African_music	Galt MacDermot
African_music	Giovanni Hidalgo
African_music	Gnawa music
African_music	Goin' Home (Archie Shepp and Horace Parlan album)
African_music	Goldfish (band)
African_music	Good for Your Soul
African_music	Grayson Hugh
African_music	Gwendolyn B. Bennett
African_music	Hand drum
African_music	Hannes Taljaard
African_music	Heads Up International
African_music	Helmut Lotti
African_music	Herbie Hancock
African_music	Highlife
African_music	History of music
African_music	Homeland (Miriam Makeba album)
African_music	Homophony
African_music	Hy Hirsh
African_music	Hélène Lee
African_music	I'm with You (album)
African_music	Idris Elba
African_music	Igba
African_music	Inspiration FM
African_music	International Library of African Music
African_music	Islamic music
