article_15,editor,gender,editcount,registration,emailable,rigths
Dependent_and_independent_variables,ClueBot NG,bot,3780245,2010-10-20T17:01:19Z,undefined,56
Dependent_and_independent_variables,JacobJakub,unknown,1,2015-12-13T23:17:33Z,no,31
Dependent_and_independent_variables,Nxavar,male,1982,2007-01-15T13:46:59Z,no,45
Dependent_and_independent_variables,Rtucker913,male,2916,2010-11-26T17:25:05Z,undefined,46
Design,Altenmann,unknown,164310,2003-11-13T04:29:44Z,undefined,46
Design,ClueBot NG,bot,3780245,2010-10-20T17:01:19Z,undefined,56
Design,Materialscientist,unknown,688119,2008-09-14T01:47:33Z,undefined,109
Discrimination,ClueBot NG,bot,3780245,2010-10-20T17:01:19Z,undefined,56
Discrimination,Me_ Myself, and I are Here,female,4383,2012-10-02T04:18:36Z,no,45
Discrimination,Rjwilmsi,unknown,786110,2005-03-04T11:57:51Z,no,48
Domestic_violence,Bbb23,male,94458,2008-08-02T23:59:11Z,undefined,108
Domestic_violence,Coconutporkpie,unknown,4853,2014-10-13T06:29:12Z,no,45
Domestic_violence,Graham11,male,6381,2011-06-25T18:21:41Z,undefined,45
Domestic_violence,Magnolia677,unknown,21882,2012-12-21T22:58:03Z,undefined,49
Domestic_violence,Truebluegrrl,unknown,1,2015-12-29T06:13:26Z,undefined,31
Domestic_violence_in_South_Africa,Anthere,unknown,9398,2002-05-31T13:30:06Z,undefined,106
Domestic_violence_in_South_Africa,ArtvarkAngie,unknown,2,2014-12-30T07:18:58Z,no,31
Domestic_violence_in_South_Africa,Dwanyewest,male,66457,2005-10-04T18:54:44Z,no,48
Domestic_violence_in_South_Africa,Wavelength,unknown,155453,2005-05-18T06:59:38Z,no,47
Drakensberg,Anthere,unknown,9398,2002-05-31T13:30:06Z,undefined,106
Drakensberg,Archon 2488,male,5999,2008-08-13T18:45:42Z,undefined,45
Drakensberg,Lappspira,unknown,2053,2015-06-12T17:32:14Z,no,45
Drakensberg,Oggmus,unknown,1044,2013-12-27T15:26:49Z,no,45
Drakensberg,Tom Radulovich,unknown,19080,2004-02-10T21:08:56Z,undefined,48
Drakensberg,Xufanc,male,51211,2008-08-28T15:25:13Z,undefined,48
Duration_(music),Anthere,unknown,9398,2002-05-31T13:30:06Z,undefined,106
Duration_(music),Crh23,male,1860,2011-09-19T14:59:58Z,undefined,46
Duration_(music),Forbes72,unknown,6757,2008-01-12T00:01:55Z,undefined,45
Economy_of_South_Africa,Bender235,male,326566,2004-10-02T12:16:43Z,undefined,49
Economy_of_South_Africa,Cnwilliams,male,48972,2009-07-25T20:34:12Z,undefined,45
Economy_of_South_Africa,Darylgolden,unknown,6531,2012-01-20T09:54:38Z,undefined,46
Economy_of_South_Africa,Hegsaas,unknown,52,2015-06-30T09:54:02Z,no,45
Economy_of_South_Africa,Wingedsubmariner,unknown,924,2007-02-08T20:59:05Z,no,45
Ecosystem,Berglopen,unknown,83,2013-11-21T05:48:28Z,undefined,45
Ecosystem,ClueBot NG,bot,3780245,2010-10-20T17:01:19Z,undefined,56
Ecosystem,Gob Lofa,unknown,17776,2011-04-13T19:55:35Z,undefined,46
Ecosystem,Materialscientist,unknown,688119,2008-09-14T01:47:33Z,undefined,109
Ecosystem,Serols,unknown,32537,2009-06-17T18:34:51Z,undefined,48
Electrical_conductor,Accurizer,unknown,27610,2006-01-18T01:04:27Z,undefined,48
Electrical_conductor,Johnuniq,unknown,36916,2007-12-19T09:17:00Z,undefined,50
Electrical_conductor,Rod57,male,16332,2006-10-21T22:52:05Z,undefined,48
Electrical_network,Anthere,unknown,9398,2002-05-31T13:30:06Z,undefined,106
Electrical_network,ClueBot NG,bot,3780245,2010-10-20T17:01:19Z,undefined,56
Electrical_network,Materialscientist,unknown,688119,2008-09-14T01:47:33Z,undefined,109
Electrical_network,Spinningspark,male,56165,2007-03-03T09:41:30Z,undefined,107
Electrical_network,Yobot,bot,4271822,2008-06-17T22:33:17Z,undefined,53
Electricity_generation,Andy M. Wang,male,11483,2005-10-21T02:21:55Z,no,49
Electricity_generation,Materialscientist,unknown,688119,2008-09-14T01:47:33Z,undefined,109
Energy_in_South_Africa,Andynct,unknown,724,2009-05-27T16:16:27Z,undefined,45
Energy_in_South_Africa,GermanJoe,male,25657,2010-08-20T19:29:40Z,undefined,49
Energy_in_South_Africa,Koleksed,unknown,8,2015-10-07T09:48:44Z,no,31
Fair_trade,ElleMegan,unknown,91,2015-09-03T15:09:47Z,undefined,45
Fair_trade,Faceless Enemy,unknown,12380,2010-01-23T21:15:14Z,undefined,45
Fair_trade,Scott Illini,unknown,2706,2006-11-30T09:49:10Z,undefined,45
Farm,Akaasik,unknown,13,2015-12-15T18:08:37Z,undefined,45
Farm,AnomieBOT,bot,2123162,2008-08-07T17:09:33Z,undefined,53
Farm,Casliber,male,152523,2006-05-05T10:14:39Z,undefined,115
Farm,ClueBot NG,bot,3780245,2010-10-20T17:01:19Z,undefined,56
Farm,Dimadick,unknown,241873,2003-09-28T04:30:14Z,no,48
Farm,Geralu1,unknown,20,2015-11-26T12:03:56Z,no,45
Farm,JamesBWatson,male,118474,2006-08-01T16:46:05Z,undefined,106
Farm,Tony Holkham,male,6876,2007-11-19T23:53:05Z,undefined,45
Fiber,Materialscientist,unknown,688119,2008-09-14T01:47:33Z,undefined,109
Fiber,Tucsonhorse,unknown,26,2015-12-06T21:07:10Z,undefined,45
Fiber,Yobot,bot,4271822,2008-06-17T22:33:17Z,undefined,53
Fire_safety,DMacks,unknown,101294,2006-01-16T21:44:12Z,undefined,107
Fire_safety,Egsan Bacon,unknown,15324,2005-11-23T08:27:14Z,undefined,45
Fire_safety,HowCanIHelpYou123,unknown,6,2015-10-14T23:45:18Z,no,31
Fire_safety,Oshwah,male,64633,2007-01-05T08:11:14Z,undefined,53
Flag_of_South_Africa,Anthere,unknown,9398,2002-05-31T13:30:06Z,undefined,106
Flag_of_South_Africa,BilCat,male,98814,2006-08-20T18:09:38Z,undefined,51
Flag_of_South_Africa,ClueBot NG,bot,3780245,2010-10-20T17:01:19Z,undefined,56
Flag_of_South_Africa,Sdotor,unknown,5,2014-12-17T11:00:10Z,no,31
Flag_of_South_Africa,Waynejayes,male,7756,2012-06-06T07:55:12Z,undefined,45
Flag_of_South_Africa,Wolbo,male,86186,2006-03-15T21:53:46Z,undefined,50
Food,Ali Zifan,unknown,634,2013-09-05T12:36:45Z,no,45
Food,Anthere,unknown,9398,2002-05-31T13:30:06Z,undefined,106
Food,Cyrej,unknown,405,2014-11-21T11:09:29Z,no,45
Food,Faolin42,male,20711,2010-01-25T23:53:32Z,undefined,45
Food,Hzh,unknown,42403,2007-05-13T12:04:48Z,undefined,47
Food,Materialscientist,unknown,688119,2008-09-14T01:47:33Z,undefined,109
Food,Meganesia,unknown,4170,2013-08-27T08:25:59Z,no,45
Food,Sasha1550,unknown,200,2014-10-11T16:34:31Z,undefined,45
Food,Tachs,male,53780,2005-09-12T11:35:43Z,undefined,46
Food_pyramid_(nutrition),ClueBot NG,bot,3780245,2010-10-20T17:01:19Z,undefined,56
Food_pyramid_(nutrition),Darkknight2149,unknown,6141,2014-03-16T21:36:24Z,undefined,45
Food_pyramid_(nutrition),Donner60,male,100361,2010-07-17T00:03:20Z,undefined,49
Food_pyramid_(nutrition),Melonkelon,male,25643,2012-12-31T06:24:13Z,undefined,48
Food_security,ClueBot NG,bot,3780245,2010-10-20T17:01:19Z,undefined,56
Food_security,Geralu1,unknown,20,2015-11-26T12:03:56Z,no,45
Food_security,JamesBWatson3,unknown,1515,2015-09-22T12:34:39Z,no,52
Food_security,John of Reading,male,404243,2009-12-27T11:47:08Z,undefined,49
Food_security,Rjwilmsi,unknown,786110,2005-03-04T11:57:51Z,no,48
Food_vs._fuel,Anthere,unknown,9398,2002-05-31T13:30:06Z,undefined,106
Food_vs._fuel,Catlemur,male,15245,2010-11-26T13:33:57Z,undefined,45
Food_vs._fuel,ClueBot NG,bot,3780245,2010-10-20T17:01:19Z,undefined,56
Food_vs._fuel,Dewritech,unknown,69634,2010-01-22T08:54:47Z,no,45
Food_vs._fuel,Sarr Cat,unknown,4124,2014-11-09T18:11:43Z,no,45
Frances_Baard,Anthere,unknown,9398,2002-05-31T13:30:06Z,undefined,106
Frances_Baard,BotMultichill,bot,307069,2007-04-10T10:26:45Z,undefined,53
Frances_Baard,JJMC89,male,27011,2015-04-18T00:41:28Z,undefined,48
Frances_Baard,KasparBot,bot,582452,2015-03-14T06:22:32Z,no,53
Free_State_(province),Anthere,unknown,9398,2002-05-31T13:30:06Z,undefined,106
Free_State_(province),Cyberbot II,bot,245961,2012-02-12T22:20:29Z,undefined,55
